datetime,main.temp,main.pressure,main.humidity,clouds.all,wind.speed,weather.Clear,weather.Clouds,weather.Rain
2023-11-06 15:45:57,33.36,1010.0,68.0,20.0,4.02,0.0,1.0,0.0
2023-11-06 15:47:35,30.0,1009.0,74.0,81.0,2.06,0.0,1.0,0.0
2023-11-06 15:38:29,33.32,1010.0,66.0,20.0,2.57,0.0,1.0,0.0
2023-11-06 15:39:56,33.33,1010.0,66.0,50.0,0.89,0.0,1.0,0.0
2023-11-06 18:01:20,31.1,1010.0,72.0,20.0,4.12,0.0,1.0,0.0
2023-11-06 18:02:57,27.87,1011.0,84.0,85.0,0.97,0.0,1.0,0.0
2023-11-06 18:03:18,31.11,1010.0,71.0,20.0,4.12,0.0,1.0,0.0
2023-11-06 18:04:51,30.96,1011.0,71.0,43.0,1.34,0.0,1.0,0.0
2023-11-07 00:01:19,26.75,1014.0,91.0,98.0,2.33,0.0,1.0,0.0
2023-11-07 00:03:01,26.62,1012.0,82.0,80.0,1.75,0.0,0.0,1.0
2023-11-07 00:03:23,26.34,1014.0,91.0,98.0,0.89,0.0,1.0,0.0
2023-11-07 00:04:55,26.29,1014.0,90.0,99.0,0.89,0.0,1.0,0.0
2023-11-07 05:59:18,26.52,1012.0,89.0,20.0,1.03,0.0,1.0,0.0
2023-11-07 06:03:24,25.56,1012.0,79.0,40.0,1.91,0.0,1.0,0.0
2023-11-07 06:03:44,26.51,1012.0,90.0,20.0,1.03,0.0,1.0,0.0
2023-11-07 06:05:10,26.45,1013.0,89.0,55.0,1.88,0.0,1.0,0.0
2023-11-07 12:01:20,31.61,1013.0,65.0,40.0,2.57,0.0,1.0,0.0
2023-11-07 12:02:54,31.45,1011.0,60.0,13.0,3.12,0.0,1.0,0.0
2023-11-07 12:03:16,31.63,1013.0,66.0,40.0,2.57,0.0,1.0,0.0
2023-11-07 12:04:54,31.6,1013.0,69.0,57.0,3.13,0.0,1.0,0.0
2023-11-07 18:01:19,29.52,1011.0,73.0,54.0,1.34,0.0,1.0,0.0
2023-11-07 18:02:54,27.65,1010.0,78.0,15.0,0.85,0.0,1.0,0.0
2023-11-07 18:03:17,29.52,1011.0,74.0,52.0,1.34,0.0,1.0,0.0
2023-11-07 18:04:44,29.55,1011.0,73.0,48.0,1.34,0.0,1.0,0.0
2023-11-08 00:01:36,27.83,1012.0,81.0,20.0,1.03,0.0,1.0,0.0
2023-11-08 00:03:16,26.49,1011.0,77.0,65.0,1.47,0.0,1.0,0.0
2023-11-08 00:03:39,27.83,1012.0,81.0,20.0,1.03,0.0,1.0,0.0
2023-11-08 00:05:11,27.86,1012.0,81.0,79.0,0.45,0.0,1.0,0.0
2023-11-08 06:01:35,25.65,1012.0,93.0,82.0,2.26,0.0,0.0,1.0
2023-11-08 06:03:12,26.15,1011.0,78.0,99.0,2.02,0.0,1.0,0.0
2023-11-08 06:03:38,25.65,1012.0,94.0,81.0,2.5,0.0,0.0,1.0
2023-11-08 06:05:21,25.62,1012.0,93.0,82.0,2.4,0.0,1.0,0.0
2023-11-08 12:01:19,29.78,1013.0,79.0,75.0,2.68,0.0,1.0,0.0
2023-11-08 12:02:57,31.83,1011.0,61.0,94.0,2.76,0.0,1.0,0.0
2023-11-08 12:03:21,29.76,1013.0,79.0,75.0,2.68,0.0,1.0,0.0
2023-11-08 12:04:56,29.84,1013.0,81.0,94.0,2.68,0.0,1.0,0.0
2023-11-08 18:01:20,29.04,1011.0,78.0,75.0,3.09,0.0,1.0,0.0
2023-11-08 18:02:52,27.71,1011.0,86.0,42.0,1.32,0.0,1.0,0.0
2023-11-08 18:03:16,29.02,1011.0,78.0,75.0,3.09,0.0,1.0,0.0
2023-11-08 18:04:47,28.82,1012.0,81.0,67.0,0.89,0.0,1.0,0.0
2023-11-09 00:01:29,28.11,1013.0,84.0,20.0,0.51,0.0,1.0,0.0
2023-11-09 00:03:18,26.35,1012.0,84.0,85.0,1.98,0.0,1.0,0.0
2023-11-09 00:03:39,28.16,1013.0,84.0,20.0,0.51,0.0,1.0,0.0
2023-11-09 00:05:12,28.1,1013.0,84.0,96.0,1.99,0.0,1.0,0.0
2023-11-09 06:01:10,26.81,1012.0,91.0,20.0,0.51,0.0,1.0,0.0
2023-11-09 06:02:50,25.79,1012.0,79.0,100.0,2.01,0.0,1.0,0.0
2023-11-09 06:03:12,26.88,1012.0,91.0,20.0,0.51,0.0,1.0,0.0
2023-11-09 06:04:48,26.84,1013.0,88.0,89.0,1.58,0.0,1.0,0.0
2023-11-09 12:01:12,31.71,1012.0,71.0,20.0,5.81,0.0,1.0,0.0
2023-11-09 12:02:51,31.54,1012.0,60.0,100.0,2.2,0.0,1.0,0.0
2023-11-09 12:03:12,32.11,1012.0,72.0,20.0,3.13,0.0,1.0,0.0
2023-11-09 12:04:44,32.36,1012.0,73.0,100.0,3.58,0.0,1.0,0.0
2023-11-09 18:00:07,30.08,1012.0,77.0,68.0,0.45,0.0,1.0,0.0
2023-11-09 18:03:06,28.0,1011.0,81.0,100.0,0.72,0.0,1.0,0.0
2023-11-09 18:02:20,30.08,1012.0,77.0,70.0,0.45,0.0,1.0,0.0
2023-11-09 18:05:01,30.05,1012.0,78.0,73.0,3.23,0.0,1.0,0.0
2023-11-10 00:01:31,27.87,1015.0,83.0,87.0,2.99,0.0,1.0,0.0
2023-11-10 00:03:19,26.66,1013.0,80.0,100.0,1.66,0.0,1.0,0.0
2023-11-10 00:03:48,27.87,1015.0,83.0,79.0,2.57,0.0,1.0,0.0
2023-11-10 00:05:27,27.73,1014.0,82.0,84.0,2.36,0.0,1.0,0.0
2023-11-10 06:00:12,26.27,1013.0,86.0,40.0,1.54,0.0,1.0,0.0
2023-11-10 06:03:04,25.71,1013.0,76.0,93.0,1.76,0.0,1.0,0.0
2023-11-10 06:03:26,26.27,1013.0,86.0,40.0,1.54,0.0,1.0,0.0
2023-11-10 06:05:00,26.15,1014.0,84.0,34.0,2.48,0.0,1.0,0.0
2023-11-10 12:01:17,32.89,1013.0,65.0,20.0,3.09,0.0,1.0,0.0
2023-11-10 12:03:00,31.31,1012.0,61.0,18.0,2.45,0.0,1.0,0.0
2023-11-10 12:03:23,32.9,1013.0,65.0,20.0,3.09,0.0,1.0,0.0
2023-11-10 12:04:55,32.95,1013.0,66.0,24.0,0.89,0.0,1.0,0.0
2023-11-10 17:57:29,30.61,1012.0,69.0,75.0,3.09,0.0,1.0,0.0
2023-11-10 18:03:05,27.74,1012.0,82.0,66.0,1.73,0.0,1.0,0.0
2023-11-10 18:03:33,30.61,1012.0,69.0,75.0,3.09,0.0,1.0,0.0
2023-11-10 18:04:55,30.58,1013.0,71.0,72.0,0.89,0.0,1.0,0.0
2023-11-11 00:01:23,28.15,1014.0,78.0,20.0,2.57,0.0,1.0,0.0
2023-11-11 00:03:06,26.44,1013.0,82.0,97.0,2.35,0.0,1.0,0.0
2023-11-11 00:03:30,28.14,1014.0,78.0,20.0,2.57,0.0,1.0,0.0
2023-11-11 00:05:07,27.97,1014.0,78.0,31.0,1.82,0.0,1.0,0.0
2023-11-11 06:01:26,26.66,1013.0,85.0,20.0,1.03,0.0,1.0,0.0
2023-11-11 06:03:12,25.71,1013.0,79.0,79.0,1.62,0.0,1.0,0.0
2023-11-11 06:03:35,27.02,1013.0,84.0,20.0,1.03,0.0,1.0,0.0
2023-11-11 06:05:02,27.0,1014.0,82.0,100.0,1.76,0.0,1.0,0.0
2023-11-11 12:01:11,30.43,1013.0,70.0,75.0,3.13,0.0,1.0,0.0
2023-11-11 12:02:54,31.73,1012.0,60.0,71.0,2.72,0.0,1.0,0.0
2023-11-11 12:03:17,30.78,1013.0,70.0,75.0,3.09,0.0,1.0,0.0
2023-11-11 12:04:50,30.9,1013.0,72.0,95.0,0.89,0.0,1.0,0.0
2023-11-11 18:01:16,28.97,1013.0,79.0,100.0,2.68,0.0,1.0,0.0
2023-11-11 18:03:04,27.85,1012.0,79.0,38.0,0.58,0.0,1.0,0.0
2023-11-11 18:03:27,29.52,1012.0,76.0,75.0,2.57,0.0,1.0,0.0
2023-11-11 18:01:03,28.94,1013.0,76.0,100.0,2.68,0.0,1.0,0.0
2023-11-12 00:01:48,28.29,1014.0,80.0,75.0,1.79,0.0,1.0,0.0
2023-11-12 00:03:33,26.44,1014.0,85.0,87.0,1.67,0.0,1.0,0.0
2023-11-12 00:03:54,28.28,1014.0,80.0,75.0,0.45,0.0,1.0,0.0
2023-11-12 00:05:32,28.3,1015.0,79.0,100.0,0.45,0.0,1.0,0.0
2023-11-12 06:01:22,26.17,1013.0,88.0,20.0,1.34,0.0,1.0,0.0
2023-11-12 06:03:06,25.34,1013.0,81.0,76.0,1.89,0.0,1.0,0.0
2023-11-12 06:03:28,26.17,1013.0,87.0,20.0,0.0,0.0,1.0,0.0
2023-11-12 06:04:55,26.14,1014.0,86.0,97.0,2.11,0.0,1.0,0.0
2023-11-12 12:01:16,31.97,1014.0,67.0,20.0,2.06,0.0,1.0,0.0
2023-11-12 12:02:53,31.55,1013.0,61.0,68.0,2.73,0.0,1.0,0.0
2023-11-12 12:03:15,32.19,1014.0,67.0,20.0,2.06,0.0,1.0,0.0
2023-11-12 12:04:43,32.17,1014.0,68.0,61.0,1.34,0.0,1.0,0.0
2023-11-12 13:09:18,32.56,1013.0,67.0,40.0,6.71,0.0,1.0,0.0
2023-11-12 13:10:57,31.37,1012.0,62.0,66.0,3.06,0.0,1.0,0.0
2023-11-12 13:11:19,32.25,1013.0,67.0,40.0,4.12,0.0,1.0,0.0
2023-11-12 13:12:45,32.26,1013.0,67.0,57.0,0.89,0.0,1.0,0.0
2023-11-12 18:01:13,30.07,1013.0,70.0,20.0,3.6,0.0,1.0,0.0
2023-11-12 18:03:00,27.76,1012.0,82.0,66.0,1.18,0.0,1.0,0.0
2023-11-12 18:03:21,30.05,1013.0,70.0,20.0,3.6,0.0,1.0,0.0
2023-11-12 18:04:44,29.98,1014.0,74.0,51.0,0.89,0.0,1.0,0.0
2023-11-13 00:01:14,27.22,1015.0,85.0,20.0,1.54,0.0,1.0,0.0
2023-11-13 00:02:53,26.29,1014.0,83.0,63.0,1.73,0.0,1.0,0.0
2023-11-13 00:03:13,27.16,1015.0,85.0,20.0,1.54,0.0,1.0,0.0
2023-11-13 00:04:44,27.26,1015.0,82.0,43.0,2.24,0.0,1.0,0.0
2023-11-13 06:01:39,26.97,1013.0,81.0,40.0,1.03,0.0,1.0,0.0
2023-11-13 06:03:23,25.58,1013.0,78.0,66.0,1.57,0.0,1.0,0.0
2023-11-13 06:03:45,27.0,1013.0,80.0,40.0,1.03,0.0,1.0,0.0
2023-11-13 06:05:16,26.99,1014.0,78.0,49.0,1.85,0.0,1.0,0.0
2023-11-13 12:01:39,30.48,1015.0,70.0,75.0,3.6,0.0,1.0,0.0
2023-11-13 12:03:23,31.64,1013.0,59.0,23.0,2.46,0.0,1.0,0.0
2023-11-13 12:03:47,30.47,1015.0,70.0,75.0,3.6,0.0,1.0,0.0
2023-11-13 12:05:20,30.45,1015.0,73.0,99.0,1.34,0.0,1.0,0.0
2023-11-13 18:01:20,27.51,1013.0,85.0,75.0,3.09,0.0,1.0,0.0
2023-11-13 18:03:03,27.72,1013.0,78.0,41.0,0.43,0.0,1.0,0.0
2023-11-13 18:03:32,27.54,1013.0,85.0,75.0,3.09,0.0,1.0,0.0
2023-11-13 18:04:59,27.66,1014.0,79.0,99.0,0.89,0.0,1.0,0.0
2023-11-14 00:01:32,28.11,1015.0,78.0,100.0,1.03,0.0,0.0,1.0
2023-11-14 00:03:09,25.92,1014.0,78.0,26.0,2.23,0.0,1.0,0.0
2023-11-14 00:03:41,28.12,1015.0,77.0,100.0,1.03,0.0,1.0,0.0
2023-11-14 00:05:13,27.99,1016.0,74.0,46.0,4.88,0.0,1.0,0.0
2023-11-14 06:01:13,26.63,1013.0,84.0,100.0,2.57,0.0,1.0,0.0
2023-11-14 06:02:48,25.77,1014.0,78.0,78.0,2.24,0.0,1.0,0.0
2023-11-14 06:03:09,26.47,1013.0,85.0,100.0,2.57,0.0,1.0,0.0
2023-11-14 06:04:36,26.58,1014.0,83.0,99.0,4.47,0.0,1.0,0.0
2023-11-14 12:01:31,32.31,1015.0,63.0,75.0,2.68,0.0,1.0,0.0
2023-11-14 12:03:10,32.2,1014.0,56.0,86.0,0.64,0.0,1.0,0.0
2023-11-14 12:03:30,32.66,1014.0,64.0,75.0,2.68,0.0,1.0,0.0
2023-11-14 12:04:58,32.87,1014.0,68.0,98.0,2.68,0.0,1.0,0.0
2023-11-14 18:01:40,29.45,1013.0,74.0,75.0,3.09,0.0,1.0,0.0
2023-11-14 18:03:26,28.0,1013.0,78.0,89.0,1.84,0.0,1.0,0.0
2023-11-14 18:03:47,29.46,1013.0,74.0,75.0,3.09,0.0,1.0,0.0
2023-11-14 18:05:18,29.43,1014.0,74.0,97.0,0.89,0.0,1.0,0.0
2023-11-15 00:01:15,26.87,1015.0,84.0,75.0,1.54,0.0,1.0,0.0
2023-11-15 00:03:16,26.29,1014.0,77.0,99.0,2.69,0.0,1.0,0.0
2023-11-15 00:03:37,26.86,1015.0,83.0,75.0,4.47,0.0,1.0,0.0
2023-11-15 00:05:16,26.82,1015.0,83.0,98.0,4.47,0.0,1.0,0.0
2023-11-15 06:01:39,26.18,1014.0,87.0,40.0,1.54,0.0,1.0,0.0
2023-11-15 06:03:27,26.03,1014.0,75.0,73.0,2.29,0.0,1.0,0.0
2023-11-15 06:03:47,26.23,1014.0,87.0,40.0,1.54,0.0,1.0,0.0
2023-11-15 06:05:23,26.32,1015.0,84.0,98.0,0.45,0.0,1.0,0.0
2023-11-15 12:01:33,29.06,1015.0,77.0,75.0,1.34,0.0,1.0,0.0
2023-11-15 12:03:18,32.26,1013.0,55.0,29.0,1.31,0.0,1.0,0.0
2023-11-15 11:58:56,29.07,1015.0,76.0,75.0,1.34,0.0,1.0,0.0
2023-11-15 12:05:13,28.88,1015.0,73.0,98.0,2.24,0.0,1.0,0.0
2023-11-15 18:01:23,26.51,1014.0,89.0,75.0,4.47,0.0,1.0,0.0
2023-11-15 18:03:05,27.98,1013.0,76.0,37.0,0.26,0.0,1.0,0.0
2023-11-15 18:03:25,26.52,1014.0,88.0,75.0,4.47,0.0,1.0,0.0
2023-11-15 18:04:47,26.63,1015.0,83.0,97.0,2.24,0.0,1.0,0.0
2023-11-15 23:15:55,26.51,1016.0,87.0,20.0,1.54,0.0,1.0,0.0
2023-11-15 23:17:35,26.1,1015.0,75.0,42.0,2.58,0.0,1.0,0.0
2023-11-15 23:17:58,26.48,1016.0,87.0,20.0,1.54,0.0,1.0,0.0
2023-11-15 23:19:24,26.46,1016.0,85.0,94.0,1.34,0.0,1.0,0.0
2023-11-16 00:01:17,26.5,1016.0,87.0,20.0,1.54,0.0,1.0,0.0
2023-11-16 00:03:02,25.79,1015.0,75.0,47.0,2.48,0.0,1.0,0.0
2023-11-16 00:03:27,26.51,1016.0,86.0,20.0,1.54,0.0,1.0,0.0
2023-11-16 00:05:04,26.37,1016.0,84.0,95.0,0.45,0.0,1.0,0.0
2023-11-16 03:01:07,25.98,1015.0,88.0,40.0,2.06,0.0,1.0,0.0
2023-11-16 03:02:57,25.31,1014.0,75.0,22.0,2.67,0.0,1.0,0.0
2023-11-16 03:03:18,26.04,1015.0,87.0,40.0,2.06,0.0,1.0,0.0
2023-11-16 03:04:53,26.14,1015.0,85.0,95.0,4.59,0.0,1.0,0.0
2023-11-16 06:01:46,25.28,1015.0,89.0,20.0,1.03,0.0,1.0,0.0
2023-11-16 06:03:18,25.09,1015.0,73.0,71.0,2.29,0.0,1.0,0.0
2023-11-16 06:03:49,25.29,1015.0,88.0,20.0,1.03,0.0,1.0,0.0
2023-11-16 06:05:24,25.29,1016.0,82.0,94.0,5.01,0.0,1.0,0.0
2023-11-16 09:01:28,30.07,1017.0,71.0,75.0,1.54,0.0,1.0,0.0
2023-11-16 09:03:10,30.16,1016.0,54.0,8.0,0.98,1.0,0.0,0.0
2023-11-16 09:03:32,30.08,1017.0,71.0,75.0,1.54,0.0,1.0,0.0
2023-11-16 09:04:58,30.26,1017.0,70.0,89.0,0.89,0.0,1.0,0.0
2023-11-16 12:01:17,32.71,1015.0,59.0,40.0,3.6,0.0,1.0,0.0
2023-11-16 12:03:00,31.7,1014.0,52.0,6.0,2.55,1.0,0.0,0.0
2023-11-16 12:03:21,32.72,1015.0,60.0,40.0,3.6,0.0,1.0,0.0
2023-11-16 12:04:54,32.82,1015.0,64.0,76.0,0.89,0.0,1.0,0.0
2023-11-16 15:01:11,32.85,1013.0,60.0,40.0,4.63,0.0,1.0,0.0
2023-11-16 15:02:52,30.79,1013.0,59.0,6.0,2.33,1.0,0.0,0.0
2023-11-16 15:03:12,32.72,1013.0,60.0,40.0,4.63,0.0,1.0,0.0
2023-11-16 15:04:45,32.82,1013.0,65.0,27.0,1.79,0.0,1.0,0.0
2023-11-16 18:01:14,29.83,1014.0,67.0,20.0,4.63,0.0,1.0,0.0
2023-11-16 18:03:00,27.41,1014.0,78.0,6.0,1.76,1.0,0.0,0.0
2023-11-16 18:03:23,29.82,1014.0,68.0,20.0,4.63,0.0,1.0,0.0
2023-11-16 18:04:51,29.77,1015.0,72.0,16.0,0.89,0.0,1.0,0.0
2023-11-16 21:01:48,28.29,1016.0,77.0,20.0,1.54,0.0,1.0,0.0
2023-11-16 21:03:44,26.44,1015.0,77.0,89.0,2.01,0.0,1.0,0.0
2023-11-16 21:04:06,28.3,1016.0,77.0,20.0,1.54,0.0,1.0,0.0
2023-11-16 21:05:48,28.15,1016.0,74.0,98.0,0.89,0.0,1.0,0.0
2023-11-17 00:01:43,27.12,1016.0,82.0,20.0,1.03,0.0,1.0,0.0
2023-11-17 00:03:39,25.85,1015.0,77.0,92.0,2.29,0.0,1.0,0.0
2023-11-17 00:03:59,27.13,1016.0,81.0,20.0,1.03,0.0,1.0,0.0
2023-11-17 00:05:30,27.13,1016.0,80.0,73.0,1.76,0.0,1.0,0.0
2023-11-17 03:01:19,26.42,1014.0,83.0,26.0,0.45,0.0,1.0,0.0
2023-11-17 03:03:11,25.59,1013.0,78.0,100.0,2.04,0.0,1.0,0.0
